agent_id,trial,phenotype,action,reward
1,83,exploiter,0,1
1,84,exploiter,0,1
1,85,exploiter,0,1
1,86,exploiter,0,1
1,87,exploiter,0,0
1,88,exploiter,0,0
1,89,exploiter,0,1
1,90,exploiter,0,0
1,91,exploiter,0,0
1,92,exploiter,0,0
1,93,exploiter,0,0
1,94,exploiter,1,0
1,95,exploiter,0,1
1,96,exploiter,0,1
1,97,exploiter,0,1
1,98,exploiter,0,0
1,99,exploiter,0,0
1,100,exploiter,0,1
1,101,exploiter,0,1
1,102,exploiter,0,1
1,103,exploiter,0,0
1,104,exploiter,0,1
1,105,exploiter,0,1
1,106,exploiter,0,1
1,107,exploiter,0,1
1,108,exploiter,0,0
1,109,exploiter,0,0
1,110,exploiter,0,1
1,111,exploiter,0,0
1,112,exploiter,0,0
1,113,exploiter,0,1
1,114,exploiter,0,1
1,115,exploiter,0,1
1,116,exploiter,0,0
1,117,exploiter,0,1
1,118,exploiter,0,1
1,119,exploiter,0,1
1,120,exploiter,0,1
1,121,exploiter,0,0
1,122,exploiter,0,1
1,123,exploiter,0,1
1,124,exploiter,0,1
1,125,exploiter,0,1
1,126,exploiter,0,1
1,127,exploiter,0,1
1,128,exploiter,0,1
1,129,exploiter,0,0
1,130,exploiter,0,0
1,131,exploiter,0,1
1,132,exploiter,0,1
1,133,exploiter,0,1
1,134,exploiter,0,1
1,135,exploiter,0,0
1,136,exploiter,0,1
1,137,exploiter,0,1
1,138,exploiter,0,1
1,139,exploiter,0,1
1,140,exploiter,0,1
1,141,exploiter,0,1
1,142,exploiter,0,0
1,143,exploiter,0,0
1,144,exploiter,0,0
1,145,exploiter,0,0
1,146,exploiter,0,1
1,147,exploiter,0,1
1,148,exploiter,0,0
1,149,exploiter,0,0
2,0,exploiter,0,1
2,1,exploiter,0,0
2,2,exploiter,0,1
2,3,exploiter,0,1
2,4,exploiter,0,1
2,5,exploiter,0,1
2,6,exploiter,0,1
2,7,exploiter,0,1
2,8,exploiter,0,1
2,9,exploiter,0,1
2,10,exploiter,0,1
2,11,exploiter,0,1
2,12,exploiter,0,1
2,13,exploiter,0,0
2,14,exploiter,0,1
2,15,exploiter,0,1
2,16,exploiter,0,1
2,17,exploiter,0,1
2,18,exploiter,0,1
2,19,exploiter,0,1
2,20,exploiter,0,0
2,21,exploiter,0,0
2,22,exploiter,0,0
2,23,exploiter,0,0
2,24,exploiter,1,1
2,25,exploiter,1,0
2,26,exploiter,1,0
2,27,exploiter,1,1
2,28,exploiter,1,1
2,29,exploiter,1,1
2,30,exploiter,1,0
2,31,exploiter,1,1
2,32,exploiter,1,0
2,33,exploiter,1,0
2,34,exploiter,1,0
2,35,exploiter,0,1
2,36,exploiter,0,1
2,37,exploiter,0,1
2,38,exploiter,0,1
2,39,exploiter,0,1
2,40,exploiter,0,0
2,41,exploiter,0,0
2,42,exploiter,1,0
2,43,exploiter,0,0
2,44,exploiter,0,1
2,45,exploiter,0,0
2,46,exploiter,0,0
2,47,exploiter,0,1
2,48,exploiter,0,1
2,49,exploiter,0,1
2,50,exploiter,0,1
2,51,exploiter,0,0
2,52,exploiter,0,1
2,53,exploiter,0,1
2,54,exploiter,0,1
2,55,exploiter,0,1
2,56,exploiter,0,1
2,57,exploiter,0,1
2,58,exploiter,0,0
2,59,exploiter,0,1
2,60,exploiter,0,1
2,61,exploiter,0,1
2,62,exploiter,0,0
2,63,exploiter,0,0
2,64,exploiter,0,1
2,65,exploiter,0,1
2,66,exploiter,0,1
2,67,exploiter,0,1
2,68,exploiter,0,1
2,69,exploiter,0,1
2,70,exploiter,0,1
2,71,exploiter,0,1
2,72,exploiter,0,1
2,73,exploiter,0,1
2,74,exploiter,0,0
2,75,exploiter,0,1
2,76,exploiter,0,1
2,77,exploiter,0,0
2,78,exploiter,0,1
2,79,exploiter,0,0
2,80,exploiter,0,1
2,81,exploiter,0,0
2,82,exploiter,0,1
2,83,exploiter,0,1
2,84,exploiter,0,1
2,85,exploiter,0,0
2,86,exploiter,0,1
2,87,exploiter,0,1
2,88,exploiter,0,0
2,89,exploiter,0,1
2,90,exploiter,0,1
2,91,exploiter,0,0
2,92,exploiter,0,0
2,93,exploiter,0,1
2,94,exploiter,0,0
2,95,exploiter,0,1
2,96,exploiter,0,0
2,97,exploiter,0,1
2,98,exploiter,0,1
2,99,exploiter,0,1
2,100,exploiter,0,1
2,101,exploiter,0,1
2,102,exploiter,0,1
2,103,exploiter,0,0
2,104,exploiter,0,1
2,105,exploiter,0,1
2,106,exploiter,0,1
2,107,exploiter,0,1
2,108,exploiter,0,0
2,109,exploiter,0,1
2,110,exploiter,0,1
