Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7
0,0.0001255611271089019,1.1807917352400021,2.9479991689960734,0.678720053096781,0.24822262601193903,0.07889499318387294,4.944421593949905e-36
1,0.4351061653800203,1.085486697044562,2.8317124677854566,0.24911598331097715,0.2824804829728287,0.29806801194063043,3.509158023464616e-25
2,3.7919564545492756e-08,1.1351126420604682,2.821541170269815,0.00034406908763580526,0.16263289236353043,0.8192214256622046,4.6158313010545535e-64
3,0.11177600466616708,1.1357117024853973,2.670044817352709,0.04253559151949482,0.27037391164131536,0.7883218533787529,4.210100074381291e-24
4,0.2447102067294492,0.8601004194070564,2.6357682456669758,0.7338108511858329,0.1649033685052603,0.3065866082407803,0.22808056261208917
5,0.30925309254078154,1.6758347555532145,2.431218086789401,0.021312246975746185,0.08489215578023014,0.3911951587899747,0.4154276430031353
6,0.672958150739924,1.4787914883387288,2.3097889276835137,0.10725853164833232,0.10381693250831302,0.15472983135828133,0.606363036997617
7,0.9487645678271683,1.1303369708816402,2.1221220405659684,0.18798568899792198,0.008378599217865032,0.2445145082589456,0.8390646729184437
8,5.9086275741028425e-09,1.9764286224314733,1.997359745774703,0.01969988998590911,0.04005034748574381,0.3223309815245885,0.7157682480232498
9,0.5277741121384185,1.6299135238616267,1.8626485948744298,0.2684264598983123,6.469758942885438e-05,0.005081271877208009,1.0082918017899665
10,0.3544389685890196,1.760890811973069,1.5212315900861926,0.32155747440310306,6.992428054077163e-67,2.0074264557144363e-26,1.2852708174935794
11,0.08806470789224469,1.4308135388506091,1.3974672935971568,0.15546383761849833,1.312567136722366e-15,0.562370749136583,1.390746666396021
12,0.2938655029553504,1.1626149605050997,1.1972688982392001,0.7301664411757194,7.49731788298704e-11,0.11301490992774989,1.4356159769996768
13,0.6675358348358538,0.7505451814122776,1.179288342633982,3.101927072500349e-23,3.1538818685511064e-38,0.9345204140336449,1.3922287265502646
14,0.13864535780448825,1.5615316183011576,0.9687329440268421,0.6462168034437098,9.411458750724692e-64,0.04081629684404463,1.5627908166823996
15,1.467042603881659,0.9658685486487975,0.8490252670057673,0.3713583559576663,1.716186937003605e-65,0.015836590752903987,1.6257240270591338
16,1.4121892958960793,0.9365216208619767,0.8435082779002463,0.4274175616504432,1.8196094805098111e-35,0.0017926057796587487,1.6669849074331906
17,1.3047998587497875,0.9240161921011261,0.6380503041251658,0.4482297433373911,6.36952078739045e-11,0.05106615314261895,1.9637169350710646
18,0.6430966332826044,1.4078398058491903,0.4298522937406005,4.4933202446828127e-13,9.551833076179871e-11,0.4623357562967854,2.0019230667188492
19,0.28948672762484406,1.3539168878293024,0.250426577161847,0.8570507500338094,2.689422191954918e-27,9.256069257175063e-24,2.1991316454928884
20,0.908033712592035,0.9701810472282951,0.0904471814526505,0.3945655762451418,4.753874352972282e-28,0.2808016947613898,2.4111091973684373
21,0.22807757032461967,1.258451210939654,0.03866848818589513,0.9007045853054614,0.03822096456374443,4.81006031740546e-06,2.2773112699658045
22,0.16292735740745537,1.2342855652224605,2.6086219093269717e-12,0.39881567005711777,1.229578775006012e-66,0.6111010951575974,2.245731719831564
23,0.2693814220114599,0.6903345469696771,6.287204923456695e-49,0.604271271570263,1.7187315393713734e-47,0.8004033220378757,2.2023223127153093
24,0.615955886263992,0.9460288813268998,1.6719039355099104e-78,0.6391437707674396,0.18316376645280485,0.3128710529128736,2.0011905286856657
25,0.8801941329666704,1.0871763545514184,5.609237226199466e-84,0.3539091814242728,0.10158135767487736,0.34622591795907265,2.05666349150723
26,1.3811175280941475,0.24407426915629324,3.976145892618388e-06,0.34731598380164036,0.09247409041528852,0.6436809745040485,1.8051693279654408
27,1.474246915020791,0.5835802817476267,1.1016699399593882e-37,0.41029411790989806,0.07278599966226289,0.20846154684860335,1.8741182693829104
28,0.7005420900657859,0.4209714390807086,1.7459513802389253e-55,0.7040130437954084,0.12986460912547285,0.6235118748552763,1.8989647745924028
29,0.5979546494342816,0.5899128420534162,7.0403526569204254e-102,0.29388040050482583,0.1446230967943624,0.8514694895638191,1.7302331977226386
30,1.58042858714775,0.9602154313898245,3.224085973108177e-60,0.3986330749992271,0.20455673322000903,7.099501977956982e-05,1.6175969813738407
31,1.2199791783807987,1.4682651331887937,3.0956801230504925e-44,2.7732067560077522e-05,0.1664050099405061,0.07267169918730954,1.6947976874940707
32,1.2627744491621495,0.5343944933930876,1.9637493651887292e-37,0.7425478213293148,0.1614434417644133,0.19208609106818883,1.6511989473455402
33,0.00730648285822532,1.0384743192437882,4.1075055702323896e-87,0.9585666274693782,0.337521820796985,0.24176117296143432,1.436300998398878
34,1.2907188598578395e-09,1.1998710383474136,2.6702341475414684e-91,0.6101849743267554,0.2738021816343683,0.5055039042674451,1.3420518160998116
35,0.32236642301934837,0.45548678875333615,1.3444704800545733e-77,1.197727688784458,0.34380099979181533,0.34227504286230537,1.3157158509157656
36,1.5462655250325512,0.4400265978282467,1.1372784478437831e-98,0.4244179968799106,0.3715788685316913,0.46537657111174846,1.1170589501794954
