AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8,LatentFactor_9
0,1.3489852188674138e-15,0.4095469149404509,0.1273511004073505,0.12515678789001994,0.20767512663346124,0.699551974692652,0.33406231873142395,0.08343111364229377,0.1735651820785815
1,0.0004074054909591548,0.1238192710677467,0.14161888481339044,0.04950002298074613,0.09631032438845703,0.15478717607251755,0.10405642825615599,0.43354124688307344,0.39100161692834023
2,0.11776888452197307,0.15861084199713812,0.053141887629776015,0.03718086338050983,0.09529401830971061,0.0,0.17883991563124912,0.3711831874316351,0.6204708065851434
3,0.0014923456181079203,0.1006016194365798,0.4689518325721885,0.031114647348094545,0.20216446651160175,0.15777206908127964,0.2794328506012479,0.2420103509034604,0.21314992807317373
4,0.3397168880029101,0.20222630169729647,0.04275516513885953,0.2522937428718703,0.026086808761680937,0.8476419592183444,0.11670859445746835,0.1582407362855627,3.2848775700947335e-08
5,3.150863218336131e-24,0.33053044912013607,0.05560578736857509,0.16633540089740698,0.33793792540216205,0.13540747534673198,0.5365915511084834,0.2478780435812532,0.17828905888304997
6,0.1736321570252165,0.22074960960413284,0.2518746184133431,0.048234044905824384,0.19855140470767416,0.11888204381376725,0.093840769552627,0.19233859425698807,0.21703130393354866
7,0.2816789890736749,0.1756112265340431,0.17183496588730332,0.2331639539862029,0.06511654196139753,1.0208054673279936,0.16490821347356074,5.450892888460078e-45,0.1805700056424792
8,0.19969494312037006,0.18721408534677228,0.030195220722343718,0.15151566973962427,0.16788244121260484,1.0453288350618222,0.14843440378592102,0.034784188478361476,0.31592143841221115
9,0.13476421964857474,0.10512370465256506,0.33376271884475145,0.16093766745995536,0.13584538942775684,0.3352898065853892,0.26129271596979997,0.06238930057365626,0.39512701289549607
10,0.3182471624976895,0.15034136047897287,0.3085368211187713,0.24963562486638124,0.024882530646736,0.9329018070813708,0.23695823862823423,0.024890067307663643,0.06525718281162396
11,0.06617109316127472,0.3508611550329642,0.2299064924612002,0.17723378848473154,0.12657547861259402,0.18376176876299272,0.08937880356499694,0.1633409821302923,0.3606991476432024
12,0.21849896897526372,0.1623700962168264,0.17300964348425207,0.20936493728393543,0.21736058393401642,0.03707693280733978,0.0,0.17775391759793863,0.34456971683237947
13,0.06285752318316772,0.18850689686440508,0.022376301566063947,0.22684193588104315,0.018003107738073447,0.9297441556631428,0.26232020210942514,0.19492378964711762,0.17429644694796348
