AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8,LatentFactor_9,LatentFactor_10
0,0.3047518873385399,0.16256810356780768,0.14023069749358433,0.11040321254812577,0.1887212499386182,0.02652171364198622,0.24354265650566798,0.18828623547588774,0.047615823651204106,0.441468922815392
1,0.09878227978173075,0.08812966957614712,0.002487426167706576,0.15773330739833258,0.22797565679160867,0.027688696462351992,5e-324,0.4187479878198889,0.27245618995756066,0.16733395842745022
2,0.0,0.16102853532808314,1.5608959309335583e-18,0.05169639612452732,0.14028301767314574,0.15712441402158842,0.0,0.6560239967617001,0.30071198600659166,0.1903868350443938
3,0.12197656229530399,0.2338174888043486,0.053481847009050475,0.5417177592564023,0.26883149566984665,1.516711016510364e-56,5e-324,0.20000760786671337,0.12808329220770132,0.11605000314166908
4,0.4053399710923215,0.0341455276413008,0.23120020514155945,0.07353811044660313,0.06155532281642794,0.24867307632563415,0.1525584930184427,0.0002286452989577483,0.2597547125144204,0.10972575839425618
5,5e-324,0.2016595393835632,0.1500970062745359,0.05055905390645005,0.39832192352903784,0.026252978988825216,0.44136132094816877,0.2002920879568396,0.07005929591058208,0.3893821441327494
6,0.077299017269768,0.08882880913784633,0.03838836996351441,0.26672837734268445,0.19240280680176666,0.1523314647884646,0.0,0.20914465303407245,0.17079638952393866,0.2729982720074964
7,0.49299844277309157,0.07508140938959677,0.22881924130835465,0.15903791657673974,1.3599347416401622e-80,0.21032797888667296,0.1666860671620708,0.1685296745700667,0.18988311807005556,0.14813596804206022
8,0.5139159184317914,0.04820842711552402,0.13048317921897207,0.05344949825341683,0.12537823796456796,0.15963288904720677,0.1685097627564272,0.34536446295897516,0.09499157025830156,0.17291114721036518
9,0.12642161646703376,0.11037532907113727,0.18514851192027007,0.34900934979688825,0.053060985367748795,0.12005725887972832,0.1997158309115376,0.43433738706777986,0.15968126466909324,0.08608689787154128
10,0.42387509684194896,0.09767658432425655,0.27782405525756904,0.30345396020060095,1.1786516617451412e-25,0.2569247175306957,0.23450511886657052,0.0027967021680404902,0.15047263367572708,0.1275180333404779
11,0.010946290377978408,0.0,0.18739920454889006,0.22792998431227005,0.10179813419243405,0.06530688986731238,0.20834525077307844,0.3376074524060034,0.19616803115754244,0.396184114790783
12,0.02115401817047913,0.0,0.21256351637772258,0.14177277474360195,0.15080531080648352,0.23321835671159702,0.0,0.44256145188332435,0.1834370686991005,0.15258669349259676
13,0.3913110127012221,0.0707864165564161,0.21356720196159815,0.035862523620246535,0.09449081774247954,0.07635933394807404,0.32229978536338866,0.15479572106675527,0.03816680556899235,0.25921930999997106
14,0.4736297594095727,0.05401169016648505,0.01509034912278582,0.1352618765616584,0.04836115720309489,0.13416878968866938,0.2586838417108033,0.2967998712407729,1.450629090775949e-52,0.23573623326297521
15,0.44736495765768414,0.036962514052725604,3.312391906841317e-289,0.29622681877963325,0.05404729728930299,0.19058520597229936,0.2028479813475689,0.18897022530245286,0.019957763288071795,0.3020988517753988
16,7.628221060306022e-18,0.0,0.24868075016294472,0.2764847394020501,0.1850638416842385,0.2506970139927282,0.0,0.20538732645914873,0.11891467713707116,0.13073286233800605
17,0.5256078982530054,0.04192662332203956,0.20022870809942292,0.11637776565864745,0.004574379112376845,0.17151920595690817,0.2180541259345762,8.570204591859511e-33,0.10922375020927137,0.12640750364130146
18,1.0278586981234064e-63,0.0,0.17344604996654508,0.22183353504086406,0.09976925161605292,0.29147333469177467,0.0,0.16584355758211108,0.36900529763767,0.17692116870255029
19,0.005923306425825947,0.048220274007405646,0.07517551497878931,0.14468563247560093,0.24596501087284478,0.12548627840711873,0.007035203521399509,0.14089361226734073,0.2261919074746015,0.3814865301953046
20,0.3342617365328023,0.1275073735577599,0.10728987735689025,0.2544611379945039,0.2189541420179794,0.040606246862212356,0.08420526859216367,0.22849613526056997,0.12177747261997905,0.15819104301359335
21,0.2808904725399818,0.0,0.27895721433819826,3.98815686714538e-91,0.08621103925646692,0.37568493137511255,0.03424206324021074,0.06383358630118521,0.11721342154253953,0.2659156448760919
22,0.0,0.22447577041575112,0.11040088810716138,0.23021569912104756,0.07754326484781862,0.19759232535528018,5e-324,0.5487153058279737,0.32957603956295006,0.17841077210952466
23,0.4246874333451388,0.08966185479100064,0.030031244748487288,0.5174652189154847,0.05682564367093441,0.15905605388159863,0.17693308138350783,0.04755525163813961,0.18785918359162979,0.1514533228519798
24,4.4627737136843925e-239,0.04996424062734807,0.18562566604415273,0.18824575854133843,0.24610747945636977,0.08465828041206128,0.0,0.311040165657648,0.20217338002307575,0.1499381425101583
25,2.5699194175873173e-43,0.0,0.12749591280324166,0.25338807261054225,0.22742165631386035,0.3668347140146854,0.0,0.059390508707934345,0.04597784331969865,0.2839439115154023
26,0.0032836933611484057,0.19709010518784004,0.07364999662251127,0.27725523108722155,0.1988722379831029,0.12851820478383433,5e-324,0.34422356145259575,0.14634511039375123,0.3258183110531414
27,0.5667350897929425,0.03883380649734166,0.03585558544367255,4.4245852847666195e-63,0.14845780617705612,0.13653864380964567,0.20368560425216953,0.13419923993289415,0.1946069930956696,0.3028728195908545
28,0.47477926876386795,0.13071280497604498,0.21693841782814424,0.20119785752561084,0.18554120887238434,0.15494641949602944,0.17856475582714795,0.11895646272730115,0.13502698916682104,0.08695859482815205
29,0.4763824690896055,0.09660092211008611,0.0377311988973214,0.13085574885486886,0.25870847304013916,0.18813230550359825,0.16330245676439445,0.11951146742580525,0.0685524798395683,0.22825046701828702
30,0.012362542997781611,0.0,0.21902397914843075,0.162153870173553,0.09367514176344643,0.1769286609709918,0.009484323357824582,0.18709210164816872,0.29430608608120035,0.22028302873092612
31,5e-324,0.14219915915270384,0.1941561036141454,0.1549459738265679,0.2879257488567341,4.841136037543831e-46,0.16374460013949366,0.37426350960920957,5.440215992329953e-08,0.279957016420649
32,0.0,0.24738911094800778,0.21571105193352194,6.963820728637358e-240,0.21825144681130623,0.13493644896923424,0.21851816601133203,0.42802085769246345,0.022552500026948585,0.24457730672373698
33,0.34397413560698076,0.10705845497072926,2.496066272869507e-12,0.1111733668716925,0.10987877492202439,0.23173498353294078,0.22724182099531726,0.3796507179432673,0.08243180366521131,0.25520449328727385
34,0.00928521629183896,0.00014293835353421366,0.3148053305073144,0.46356974672799345,0.0979059476336091,0.06702768334525146,0.0,0.15747624597081888,0.0708315533492883,0.12830980939647757
35,0.21310405152364179,0.1304084460215424,0.09356070244578571,5.1915581589973144e-232,0.2722848471404684,0.2065236713351553,0.028553232145256496,0.3060154341214628,0.14588180068756268,0.0715697312005686
36,2.5884569026023e-196,0.1947713540101814,0.09149740487885347,0.30420467092337483,0.1412112075254388,1.007727443021175e-292,0.4799973095427426,0.2994845822220542,0.15474435558591645,0.2755686394883233
37,0.42035238603383035,0.03135172801948096,0.04320615454696666,1.8248819357483734e-116,0.36003256422896573,0.20101346038262724,0.245044167399324,0.40892100448659435,0.1309961120042318,1.0833326637166927e-27
38,0.4629100398658245,0.10507613837926813,0.19851952965762557,0.19330691956009932,0.08783655208911573,0.11563086997749614,0.21708918877288433,0.002423780187541383,0.09769948067539114,0.17254929165457816
39,0.13244547561623277,0.06854154702665435,0.06552064052700747,0.27782859786800096,0.21801270892624883,0.17820639196862953,0.0,0.2432941968422632,0.2902913402615012,0.12608696343951062
40,2.524369407949713e-244,0.04996424062734807,0.20444610402211186,0.14090232060298377,0.3107859523261579,0.07169348041417846,0.0,0.30128901982632567,0.2980018672267566,0.1395973659452742
41,0.05312573179895136,0.20592122858093648,0.1172161456681568,0.06728291695122496,0.1486370956657036,0.20136243882212151,0.04334452162717703,0.34099017182626246,0.1578478461580455,0.34176104842732763
42,0.0,0.12016660157515065,0.19608738205742995,0.4236783286891553,0.1101850213525558,0.16042482658259852,0.0,0.2631874783190531,0.15202225181674997,0.17725753236287486
43,0.42180196356919647,0.048778759478454704,0.006947566904803381,0.3351132618419538,0.13035733706970404,1.7303203951895432e-07,0.24772021862546206,0.19855619985495923,0.11422770098022447,0.36777511807119734
44,0.0,0.022743048007344734,0.001150778126168897,0.39184520023839975,0.25676624980436724,0.17043856937551424,0.0,0.31514561849925987,0.08875504489405873,0.20162623394118254
45,0.1348417249839203,0.11058943395237984,0.28953221835841364,1.1213990881423275e-52,0.1405162495663596,0.15716413533416027,5e-324,0.23881204877617473,0.25956057448122904,0.04789565236486888
46,0.6092936571165812,0.018826476975484206,0.0820941073482265,0.174893009113891,0.1611599019108546,0.16558458718712754,0.15446832739284252,1.90816964282338e-76,0.08323944126073181,0.17858054521663105
