AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3
0,0.8614139019265392,0.17251370261359628,0.7038137861332424
1,0.883659682095959,0.22969044882938885,0.1778467119330252
2,0.9554952973556597,0.296339183429009,0.10559594424860322
3,0.601284207278196,0.41930451893494647,0.3117117406866949
4,0.1495616677686105,0.5167423653967631,0.6325416952803926
5,1.0733585966834336,0.1868063343393337,0.4958401638348744
6,0.6062704971068787,0.46002632574554014,0.14634772019645076
7,0.31871216568097577,0.42750717323001547,0.7823719478122163
8,0.4587739454315876,0.3122024177246972,0.7858116759991259
9,0.4674954989376729,0.4969726812749392,0.41508508328480215
10,0.065059345268382,0.6158404216308202,0.7815920179096563
11,1.0267214033261396,0.3285059226069922,0.18888881897170362
12,0.6535351044746284,0.5541935530626907,0.02211914309927553
13,0.651949084972288,0.10868648603364257,0.799311441845048
14,0.3674292599628235,0.21053936394257533,0.8221389222988622
15,0.3225472311192124,0.37612179167220167,0.7282208149731294
16,0.45290122158603957,0.6520885070579713,0.001678172735183521
17,0.10593997844105146,0.33711239849266184,0.8394471543390928
18,0.3917189110654043,0.741501517259986,0.0003803489386204027
19,0.8303288285688532,0.4006600326365386,0.05238842726555715
20,0.6005347968314851,0.29607391299220687,0.5678930099449566
21,0.3314824418453717,0.5843738917051667,0.34900327551120547
22,0.7876244758661475,0.5166787532424785,0.15866786109050715
23,0.07767210810644812,0.5930920804474178,0.7201007253790116
24,0.7380540243095755,0.43006538790347265,0.03208444540487191
25,0.36444820946551987,0.7121402965211276,0.0007750053046255579
26,0.8355786404077628,0.4272998196083302,0.15557206134201698
27,0.5916391344012215,0.1861739105940585,0.8704035285042376
28,0.2934950174030839,0.4597388308616443,0.816249591322244
29,0.41113743145313403,0.3603796823583932,0.7767786674771248
30,0.6452674305538981,0.49769193092856623,0.023787469048935136
31,0.991508765169494,0.20892146857188107,0.23710329016837217
32,0.9552838058327263,0.19108641465252968,0.33819601224295337
33,0.509161452909993,0.33772724552242056,0.6898231987373228
34,0.45455973825957635,0.5571105283848515,0.01135168322807614
35,0.5113486342775866,0.34832133751222993,0.38101349002474916
36,1.007612300156993,0.11211288732330534,0.5730654002080217
37,0.567922604864988,0.2933563163550433,0.7296758902082779
38,0.2636029038189255,0.34168278397660523,0.818071664379766
39,0.5260371642284034,0.5540891093936932,0.1827042147478397
40,0.8231563364154244,0.45579627799722217,0.033205275597146706
41,0.8297118593587248,0.3596336466455222,0.27267573425086294
42,0.504189089405528,0.6210399438287609,0.07511905085924071
