Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3
0,0.19165234084351543,0.6177130774292509,0.9551239601367688
1,0.2836036303664482,0.5685036328638265,0.9466985756119071
2,0.5572520056189383,0.453206460597157,0.8499852643652366
3,0.5451690330855202,0.4977041792994987,0.8939298814443548
4,0.4584154806846247,0.5497108613574,0.8793543195028238
5,0.24217903391594267,0.7463758810973052,0.8201938434121011
6,0.10851237346623238,0.7709529202348103,0.8624002115392978
7,0.32609798731238915,0.6647113174767986,0.8138541216456746
8,0.06520822312509415,0.8496254191292895,0.7742693309004872
9,0.07865552544352232,0.8066660488198832,0.8005843544347084
10,1.1482063293372568e-13,0.8858194489003525,0.7714760880261411
11,0.36567719827748696,0.6622462336808685,0.7941455892058253
12,0.22766620909388743,0.7346496628814214,0.7611999516872022
13,0.6884700114193014,0.48378533964203363,0.7299988344514416
14,0.04258714369380187,0.8899602194989492,0.7211203169223992
15,0.2747492446457523,0.7516613596943379,0.7156639356585128
16,0.2329406198133345,0.771354495233758,0.7263531779928717
17,0.22038759834137234,0.7727765881502482,0.7826138836331281
18,0.22572399064796161,0.7837323651409216,0.7407408925067628
19,0.0005109403080403525,0.945496777795497,0.7532329316940949
20,0.3550020561284705,0.686721378567282,0.7838340715974057
21,0.0005769638499903614,0.9085080364622669,0.7622214361651051
22,0.46575941124346,0.6852738597130407,0.703801196818273
23,0.7034406697191324,0.552329813903199,0.6839243255825493
24,0.33435101567693004,0.7380851340145937,0.7722516449061315
25,0.37348857306539207,0.7342796966380517,0.7271375371385096
26,0.7182718726656067,0.4923713858042852,0.6384417032049463
27,0.5236992375501371,0.571786239989858,0.6532161202069156
28,0.7451895424843002,0.4972352926210818,0.6993485602350406
29,0.7299255734605438,0.4758151481321615,0.6574523921364275
30,0.2176603489397933,0.8255186950265992,0.6736252783409072
31,0.14523180623991613,0.8236163978310165,0.6657494968841707
32,0.5475571173898489,0.6212896619215715,0.6539063139408187
33,0.3973793158625109,0.6775469508956913,0.710872188143096
34,0.4788774111755367,0.6676210000174586,0.6419639889781802
35,0.6045553222696372,0.5715862933983124,0.6855739732352762
36,0.6611701239696516,0.5912566494905008,0.647778468720406
37,0.6303218263658255,0.5345151162398314,0.7043283112927876
38,0.799111568838455,0.5034015319983189,0.64418021344523
39,0.48221786621747903,0.6558207338380354,0.6373753384844824
40,0.4340605722663574,0.7063271667310721,0.6490292957444755
41,0.43803046885652547,0.7187622830897653,0.6569861490615558
42,0.40889354657328897,0.6655262471110613,0.6477870248737287
43,0.8860509273988306,0.42144342046493444,0.6111732436545191
44,0.8087853983965099,0.44713769387514135,0.625475325103533
45,0.8498661791239703,0.4688719320172539,0.6047483987029473
46,0.9580787835768323,0.3741256642345703,0.6040271116818466
47,0.8060145330464025,0.43728867783795106,0.6269968275340084
48,0.8355218416757977,0.44861908743737766,0.6438045168327546
49,0.5104453741399636,0.6379861629717908,0.6447869610182252
50,0.7264135364580134,0.5603013813998957,0.605368071897813
51,0.7079607851549983,0.5189252626003444,0.6728479229172881
52,0.6466055163463547,0.566559318601455,0.6407261508054958
53,0.5610643126738298,0.6429084403885036,0.6409590232825295
54,0.735094043894949,0.47378375962900793,0.6552530246208829
55,0.8688383491720884,0.4009470865202155,0.6509508335635238
56,0.8251842547775999,0.4465831969469987,0.6728958061412759
57,0.7791905317833201,0.5173026777640674,0.5963819348124995
58,0.9638363426231503,0.3548968629295526,0.6561317754375854
59,0.33238590398103884,0.7424331962463013,0.6498714463121857
60,0.6267544454743165,0.5642328606009325,0.657241549817709
61,0.8651267392530816,0.4012243945054536,0.617794754633054
62,0.8072969162170454,0.42325418894457406,0.6787865891738946
63,0.9121206774462637,0.3984656297485772,0.6070317490614627
64,0.8127311593554323,0.4333675076220316,0.7066637041157313
65,0.6186288915247392,0.6012428169699663,0.6152281763972093
66,0.6336516658826052,0.5916047322271325,0.5949437246368691
67,0.8039639203233834,0.4625153542608979,0.6292409287610237
68,0.7761916753299389,0.5194855008326584,0.6055810923621984
69,0.7920079445664211,0.4694553680497266,0.6864226790081142
70,0.6413069580710572,0.5391996766276108,0.6196123941867515
71,0.6706570205842303,0.5507230685446316,0.6256879416364934
72,0.8657642525802278,0.4013099750421577,0.6509973099413113
73,0.6495345942857979,0.5648665527950845,0.701515580528136
74,0.6077188811260106,0.6083328585239139,0.6579130968239937
75,0.7939971022318176,0.481407629737404,0.6323947048951769
76,0.4717326852568541,0.6248457235800843,0.639558873824487
77,0.6639321214412782,0.5660632138093697,0.5953885188722678
78,0.5495174176861848,0.6051259324861149,0.655303188529067
79,0.61112973044036,0.609553104694917,0.6397724082191919
80,0.7347272652318818,0.5584827836663759,0.5900335141530143
81,0.7272996904058161,0.5117141509163208,0.6437354957741044
82,0.8809351420172656,0.48300838480542574,0.5749398353159557
83,0.8430038806770022,0.4249783962395438,0.6393550499968758
84,0.771507965293881,0.48680563119342746,0.6431180167448366
85,0.6620343999701053,0.5835813470797664,0.6217626700872563
86,0.8310704588152711,0.44720671573950466,0.6162446437247904
87,0.9282072949359077,0.38826999930672307,0.6608504844043491
88,0.8776221763508509,0.4005352994038386,0.6899803780013303
89,1.0796023474504917,0.254212906781945,0.6385792315381044
90,0.7043926956770181,0.46236851219187514,0.6523409298837406
91,0.9395829800863917,0.3410439053834457,0.6663834479966747
92,0.82680484084365,0.39800990289208477,0.6791040175950102
93,0.6106045004966331,0.5603299415883035,0.6180927067306381
94,0.8959198143985658,0.4042271313595264,0.6471083553173195
95,0.8722739948124327,0.42096301862376095,0.6430948593726217
96,0.45867775591079035,0.6912662500331359,0.68638915166873
97,0.7179346742666762,0.531207995559276,0.5938324900904933
98,0.618418686227532,0.5994369713279245,0.6203139535611407
99,0.8266185834085041,0.43590794216514367,0.6418921270273258
100,0.6134145929780285,0.6009390811787467,0.6671768230639271
101,0.5347327736130179,0.6208085070620685,0.6733237089488764
102,0.8119579740580795,0.4690092685084743,0.528711157254779
103,0.8132775971963525,0.45888686015247265,0.6262561219174498
104,0.5364244706395859,0.5828952318994135,0.6470599423107299
105,0.8177426233397306,0.5008770305366682,0.627677543038845
106,0.6192553606193885,0.6119235310939136,0.5734347585256951
