Feature,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6
action,0.8120276215114001,3.834376298006848e-39,1.4343435128024848e-24,0.8717111111496693,2.4205896141690006e-19,1.64399857958472e-48
reward,8.833267281029322e-06,0.8783732565690432,0.9075594599642097,2.9184909101242623e-24,0.5852093901561168,0.9340648934910977
