AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4
0,4.86402439103381e-16,0.3821641532977896,0.49577228676624846,0.3025341616144588
1,0.09088880046697578,0.022596279375288648,0.4761255748691736,0.5021820610781719
2,0.09108001183809122,0.31976374173242683,0.6008385977870092,0.1986494301990489
3,0.563908279340515,0.17511672072264797,0.3539086784599834,0.28260197146615257
4,0.016619426083159507,0.5042318983634155,0.5810172532884278,0.0784746530156632
5,0.5003529224778533,4.855877359592125e-34,0.19499661396566095,0.7313363128704393
6,0.3985025099145306,0.04093667118467876,0.6107363430761094,0.21640644894853073
7,0.4234334404146401,0.2043031310702369,0.1446062462273243,0.4728918937312519
8,0.0830847451172435,0.3970157819591194,0.2909124158738936,0.36751039325152224
9,0.18875178113473431,0.5693649223019647,0.3689893519629915,0.04435716733166537
10,0.12136183076256032,0.5002141498987023,0.16234935343219084,0.3532252664638962
11,0.18256698864121648,0.28131323623356075,0.5349747881311777,0.26629275230497645
12,0.1766382250604715,0.2379843383107116,0.27774413621919575,0.6363120373531838
13,0.22831976219571495,0.7075735209342365,0.25095655058809174,0.08060147729356357
14,0.1131863209964231,0.676830557146549,0.21489037444838344,0.34344174076440703
15,0.42623963017430216,0.3188007629429953,0.5010751989875282,0.006273339448455334
16,0.5588947804682032,0.6965436811517461,0.1720346310012203,9.62801437156368e-22
17,0.5072433110622547,0.15761524425271864,0.5542979003194962,1.465049077713556e-20
18,0.5128659400719121,0.1504339510438584,0.2831102769458329,0.44612662854487745
19,7.398222228542354e-16,0.3974266645077641,0.47760683105920165,0.2677207248305885
20,0.20283291129669428,0.3368051928227637,0.46187988063078195,0.07806747179277339
21,0.018065945058309742,0.32347766457969634,0.43468066771639685,0.3802126143057121
22,0.4016168440650056,0.7353122497722143,0.16412387418952956,0.027282580776223517
23,0.004119794393573368,0.48453160778970483,0.4262157621925818,0.2596598520919841
24,0.14579370077987774,9.385195540950268e-19,0.3240992785507044,0.8215574395334136
25,0.25954246992576396,0.6117748196446972,0.08548205299271483,0.28386442879323504
26,0.5499681464123491,0.27590950849990303,0.20988006165948436,0.3652855343371905
27,0.4426092683161327,0.8209345847637644,0.14663762186557253,0.00041211787768701366
28,0.04110955741757188,0.5425228315784172,0.32959047096429617,0.19661969720684364
29,0.12349531648863038,0.18975315816709473,0.3307810367756111,0.6652892218798016
30,0.5061691059675708,0.34885319269945064,0.404117917588881,8.138521886453582e-07
31,0.029503603092783267,0.32515927679758416,0.5060806165675609,0.3419755414873337
32,0.16476745053502634,0.5569666010589713,1.1115941602796535e-46,0.586781574696778
33,0.28327668942262796,0.391283906868987,0.47593455286777314,0.13401152109178616
34,0.4541312870063809,4.7965790687539235e-54,0.7666706873737494,7.824993772282874e-59
35,0.1768678656971718,0.0900733333826176,0.48165237281558854,0.5042087624791748
36,0.49795847144150807,9.744468258144893e-13,0.6985740245244999,0.08616717206290311
37,1.90995482379143e-15,0.3672472525645384,0.6447488499318486,0.09841064519273476
38,0.4345065248827831,0.513983345818681,1.1662872104151917e-17,0.3801491176260896
39,0.6373457553920354,0.27658079467136104,1.0949984552723061e-18,0.6724442904670989
40,0.009162021760444302,0.5020529029535129,0.3047765035294682,0.371076770104182
41,0.40259938305137827,0.5887632275938675,9.91960842647394e-38,0.41988314511075975
42,0.10493188754649002,0.7293775351765944,0.21224005495713055,0.20309378748168236
43,0.5599519894428638,0.036560629016422645,0.1259440941630073,0.7411070048246476
44,0.4960750130045581,0.2413891626356971,0.5488629175884616,2.1963813834175206e-40
45,0.2566845012936882,0.696534356148034,0.22574030930836564,0.0793080039412195
46,0.4858298563983637,0.8057013108627069,0.11855313609842744,4.476202785146976e-06
47,4.69403509793024e-16,0.2589070329865103,0.5012102909654067,0.362419042506668
48,0.38684806008892747,0.48093714357034434,0.09466190167784498,0.39685306918467705
49,0.13200765262457853,0.2404139214331194,0.4646592349004012,0.3170771178962083
