Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6
0,0.03756744523914903,0.19322209430623596,0.13769812024345754,2.2375976695097464,0.9998279239304458,0.6368715423658103
1,0.07564423110026418,0.18689169614371098,0.17703879015117016,2.170716767276408,1.1638497287091683,0.49358105113951045
2,1.5293056786871015e-26,0.01954216359346742,0.5372377505229124,2.091181665670929,1.7117506788257937,4.250492613622878e-11
3,0.061728212239747324,0.1254111999007146,0.5147601124342025,2.073280315376289,1.7034136220899105,4.966703402367902e-17
4,5.25070737689395e-06,0.5708681264205433,0.2734058623911765,2.1459765096462875,1.090282859764052,0.23183003489667398
5,2.424066134345517e-23,0.1376882143896316,0.1780345305154262,2.033444852650839,1.8256010074153373,0.36105701770422544
6,0.028595303659690163,0.13588982513231543,0.06271526391029855,2.0640985778067438,1.3491205109115176,0.7061012486317667
7,9.316286062200105e-10,0.0044486688931264905,0.2717673139351843,2.003010685973697,1.3165411420139863,0.6937525019109522
8,0.004578382373106785,0.0951579543619536,0.15361819795607343,1.8724073389886118,2.193745193832409,0.15092315460633599
9,0.028364819700536618,0.14656973150646643,1.3321700278215659e-05,1.8905309851757024,1.3695493810141814,0.7779463421624544
10,0.025010099328837045,0.29456111858775247,1.3713506951429401e-25,1.8384600683864059,1.331945270505497,0.7061569358406293
11,0.1365161258372448,0.3329503760451327,0.385666833061925,1.6917244174383839,1.5239999724894464,0.14189305104756433
12,0.17621957841000563,0.26901140498603726,0.16112887519981908,1.5368052754566928,0.7372260217714937,0.9668009418818545
13,0.11655558660240024,8.21107252402164e-08,0.7804893024165722,1.5697619329657886,1.011449201736407,0.46053910252762975
14,0.14036677153493674,0.8486366202488513,1.093766585315291e-11,1.506094924023172,1.1826083855783391,0.32142206632378295
15,0.17463188920290532,0.5274167634488987,0.01155894997951317,1.4207461217743522,0.897244345098511,0.8417734767568997
16,0.22780290199141534,0.5798393116977162,0.04476606638454376,1.3781760504591856,0.7999289092308619,0.8033671010514825
17,0.35146822667452066,0.8658761245264394,0.008595985646536752,1.282846590874906,0.7719884363892404,0.5752098575541489
18,0.38166038622760695,0.28793171551578917,0.3793433265781628,1.1295507201477923,1.2195872995413382,0.46900575360385427
19,0.43616793718234964,0.8189073227445496,3.6425159083070526e-17,1.0600738689524853,0.9593256578289096,0.5809718445058263
20,0.5068799007500572,0.36650141067669345,0.2983232718204567,1.0005462219138694,0.68006793664485,0.8325385941453642
21,0.5446299262402716,0.9321720092253235,1.4184516128685966e-21,0.8857193647044611,0.419906998062002,0.7778835496249971
22,0.4538572314990214,0.4337970790832451,0.4319080561168038,0.8796998016152614,1.1212768886484363,0.44354840112414223
23,0.5039137706380671,0.8133446182309116,0.6359161535844182,0.7700074549751137,0.6606214317312851,0.1925360660913821
24,0.7304318657535264,0.6896746395422255,0.25916469888325055,0.5874381729886203,0.6195342266355476,0.6666562415888887
25,0.6516412344740216,0.7332296945985173,0.24351836658219708,0.6112128633454242,0.8869961157330091,0.4864762864303015
26,0.5266840999347411,0.8021278419999897,0.5703136803527337,0.634525327048507,0.2602284363014536,0.4388806673385449
27,0.5528202345125801,0.5891963657551227,0.22643474943203754,0.5977700409591109,0.5391398502176731,0.7427354300385934
28,0.6307218699907357,0.46848025678490546,0.6871181975325223,0.5868195238858063,0.3233047242725176,0.6635934762461815
