AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5
0,0.2283655640050086,0.12290192275663349,0.8893659754083636,0.3716331286516824,0.30133362952850123
1,0.35326961805675744,0.12376598923730282,0.8040579380279538,0.11576501460890705,0.066675100124223
2,0.42115330642997195,0.15844172467686354,0.8695582529706606,0.19898733750054962,0.0
3,0.2280869541867281,0.3265935401905959,0.7139284347040921,0.3108911441734546,0.06796412825660372
4,0.37665757967031127,0.4283451637040538,0.2582158529942082,0.12978937216128356,0.3651188995147345
5,0.5616419074090927,0.08671730671912653,0.8525387798216607,0.5969988366098918,0.05834270764188785
6,0.2983695957837311,0.3260121438959756,0.6995867297194472,0.10441328912185778,0.05120114823698275
7,0.585778890954519,0.3639821485719288,0.21381782427535895,0.1833986537370482,0.4397112435907696
8,0.473472772559355,0.23041847029376447,0.41932325478931787,0.16508300371928206,0.4502673282969426
9,0.41667122069491563,0.4092945583535257,0.4778365055361278,0.29066826009425545,0.14444406353971617
10,0.44749046505649503,0.532877637362287,0.17807333814247306,0.26356290989506576,0.40185327680951033
11,0.467258385374144,0.20588260537590192,0.9087067277513406,0.09942889112130093,0.0791572901715087
12,0.6530310264090521,0.4009164422632821,0.4950206868984281,0.0,0.01597098910574243
13,0.5446573354431066,0.09826043804463468,0.38160577584072586,0.29176857972564163,0.40050069429032636
14,0.10866222455302749,0.20592218058314726,0.49587404060239504,0.21415019622370424,0.45375724000503315
15,9.244172248785308e-10,0.3226561015308578,0.6543309838272452,0.1636291241515156,0.41380625038362867
16,0.6524157927384882,0.4916162081771008,0.34729214397670516,0.0,1.984794302809509e-07
17,0.3263385680184392,0.3549634289018497,0.09467290925117042,0.16767024852191745,0.48437427233334207
18,0.36949041150936696,0.5629155245315418,0.571993260651764,0.0,4.159555245091546e-16
19,0.21047671050274042,0.2532221464959628,0.9609158488485673,0.06921164054093935,0.003990533962435244
20,0.3559532891085547,0.2571439600905894,0.5450198840596798,0.21188399841278954,0.28421102263310316
21,0.5941563670974738,0.4668268649797128,0.26521877646136627,5e-324,0.23826364514666207
22,0.5587091513662922,0.36714337889158666,0.7043786777594039,0.29914096989050754,0.0
23,1.0644123036401618e-15,0.5244999021255994,0.516659312932135,0.21748149138627737,0.3850016889582136
