Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4
0,0.6611929154521351,0.5155188499235006,0.5592492184801036,0.5446728392998661
1,0.8123287429609456,4.91921170864661e-18,0.5183781160470272,0.8137743695729251
2,0.7016209610148617,0.44214320703890897,0.7132464145912281,0.34487135380067685
3,0.789966580942054,0.24419838181833078,0.8780620661052756,1.037014722284749e-14
4,0.8231311173646272,0.6855792625802776,0.7906984090263716,0.3194690327867806
5,0.6317796024720811,0.13825528939570253,0.8584887257986854,0.23118477522547012
6,0.5945787338020156,0.11469752653651091,0.8080424848334922,0.4738030855903968
7,0.8054493309771154,0.5059837560419006,0.4008894547368834,0.45316630749924763
8,0.4496833394854976,0.7647515724229768,0.6854359278467644,0.15675710217762787
9,0.9001714219782888,0.4108439476171153,0.449046599744496,0.6847246693987459
10,0.6359543391632063,1.3103882031866583,5.385833845963082e-05,0.20108226274701194
11,0.7340946167762155,0.7493238637318697,0.644749437471932,0.022588240413035063
12,0.6814933924491046,0.6332512346082284,1.1146720603832538,1.5689973323704652e-34
13,0.638665590600061,0.5211930729272223,0.39606008524134023,0.6305632372816738
14,0.8525958050918493,0.7525622049843698,0.5197622575538826,0.5057784904227218
15,0.7627074043170528,3.347988527331667e-70,0.7940328484358097,0.8889500733100679
16,0.9306858081827588,1.4719635321746564e-142,0.7559946790275696,0.8838404854274103
17,0.7419543360064679,0.6925625044271416,0.4601918381609035,0.6578289536869715
18,0.7923886596452806,0.4485561241343765,0.7523598419129963,0.6070431888268741
19,0.775292918744224,6.893797494828056e-26,0.8225182585226443,0.708794517770274
20,0.504716710429171,0.3626113760644966,0.3853470303602246,1.1185451612307602
21,0.5286665559279365,0.865766201012212,0.33479590580709234,0.5726312744028691
22,0.5855509092114876,0.4285622741687478,0.8574184317297463,0.27516105213799985
23,0.5069201540021339,0.8841154449204693,0.40351277530396484,0.4741909293861488
24,0.586269796327126,0.5922365247188194,1.1648481971626097,2.5626908172351847e-93
25,0.7068013349499626,1.3102228121307564,0.10029305946161246,0.2207332942781004
26,0.5559785772155543,0.9243391701850935,0.32042286758041716,0.4490847891147737
27,0.5444179306305821,0.9209106406109713,0.7154221855524452,0.00019821719566201344
28,0.8298775505306273,0.6431973723249882,0.6709276127260414,0.6181446024566598
29,0.5763512326509654,0.7739379254411545,0.3814021856322421,0.6350553388433193
30,0.8399857512022681,0.45179321638367104,0.37367723502357314,0.9401114747039214
31,0.5681692735210143,1.2282382025106207,0.270872389815008,0.5771978801992885
32,0.7491793529357517,0.835346656948554,0.49782960265513093,0.48949446674863856
33,0.5532993980390072,0.3503928992473369,0.4034319366484041,1.171678083736014
34,0.5344486572277166,0.40819533120397566,0.6079998438906715,0.712534995793042
35,0.9079444396280906,0.24758170058700515,0.9654379065870045,0.32910093337898755
36,0.7784975589463458,0.36261937609442907,0.5517959101047483,0.940155509169993
37,0.7385576489767752,0.8455992260065458,0.5189489315775686,0.23260971401737518
38,0.8506787507042941,0.7791380598287391,0.2774437567643609,0.7106077680160131
39,0.5619522879581113,0.34722242204269343,0.648703738272064,0.8773368013517431
40,0.568811035799195,0.2404760695953418,0.6197849493148996,0.4758466118783924
41,0.5166284188138411,0.7175538260374558,0.1875471170310245,0.7334319839627754
42,0.3334601900652343,0.8709008986744636,0.42347140215267376,0.5169893575381511
43,0.7632617792653156,0.636251329441994,0.6785032055746956,0.14592081664760387
44,0.5732797211956107,0.8372896798787719,0.9038156528491031,9.979347094177686e-12
45,0.6711597246155162,1.028217914391157,3.839565457265939e-214,0.7825093771484435
46,0.6833009009898184,0.5126190850162547,0.6686307077588561,0.3515072918296335
47,0.3569053960226132,1.0135930191830722,0.8032237002191462,0.0645522415160263
48,0.18182235221690818,0.849519256696981,0.6436549068668892,0.41329369875659827
49,0.3523781534374454,0.6391909215328982,0.38430417067029154,0.6443415044478347
50,0.7209157220720037,0.5769112584006802,0.7769747863245076,0.2011603183660219
51,0.7482813980037074,0.8225010742342699,0.23972747206059722,0.3555457071268423
52,0.6124225572741409,0.7556714248168077,0.4862734982647851,0.5138833349316154
53,0.6586110447819108,0.5172699657670328,0.2915420817011181,0.7774529023556759
54,0.7581008528617819,1.0496373187814019,0.6364924431652766,0.15522169637074476
55,0.7963244721563213,0.6068546928944519,0.41367995911113153,0.4758860736645701
