AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6
0,0.45808019351758616,0.5065621607102707,0.5079071369499739,0.44852170816506365,0.2519638744584855,1.6531941737089697e-13
1,0.10135703242892728,0.29585110275036564,0.5064672901827908,0.13971191136049735,7.871070380909247e-26,0.427510246398663
2,0.0,0.2574555383017652,0.6115305766613076,0.2401237049181343,3.238562939514254e-16,0.5248477141234128
3,0.10331587691007751,0.5064587380665206,0.31233521135217773,0.3751790527797658,0.23260894584161954,0.2964658492244667
4,0.5550481747765896,0.40733856413967023,0.0011937549641189728,0.1566883476069966,0.5076432837152761,0.29866055374299044
5,0.08867516945566413,0.4005515930201474,0.6025322057578436,0.7204549705574895,0.10047160629755794,0.31073293182821254
6,0.07784601579776415,0.48646474642225906,0.32616773076511396,0.12599450343968052,0.20423971094585744,0.36591952049104487
7,0.6684383258394327,0.2420989410564272,0.3304190444221966,0.22140216283364278,0.6156632015233781,0.09303035453746
8,0.6844958754459102,0.2357867846745052,0.359360728243084,0.19928371079512125,0.28588418808225696,0.2659627318785687
9,0.21955839660379317,0.3511605372118567,0.38651620535203635,0.3508189076395607,0.5788142908496029,0.13763392533490182
10,0.6108802230499633,0.3783869060524394,0.08532465032683186,0.31814044734518543,0.7598289667624307,0.16065255367385334
11,0.12033157996649343,0.47194169867552876,0.7047552426532113,0.1200010619486901,0.39256507225246284,0.04339156666564713
12,0.02427796172301354,0.2984633118137626,0.47164884762256404,0.0,0.4982673550135699,0.36239570167668805
13,0.608816332323601,0.14482784863739218,0.4772786698789912,0.35218727447356085,0.3421758330978954,0.04755765577948674
14,0.6897941207912706,0.2738410187566216,0.24929996010168923,0.2585046596689994,0.1016418687105125,0.23224690876824647
15,0.6290649093470264,0.4763423494546268,0.16731919915556553,0.1975285498334771,0.13822473698967716,0.29126505860425705
16,1.4951298725959053e-07,0.3053491992210518,0.2880416745648306,0.0,0.6045828417838643,0.42837408459384785
17,0.7363297399024615,0.2174239915263828,0.05772626577636438,0.20243382768982804,0.5643270497437459,0.09589973021362592
18,7.061099126626843e-21,0.5570484695904675,0.10837916317765028,0.0,0.4964093118002913,0.5231149560593276
