Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8,LatentFactor_9,LatentFactor_10
0,0.480293587176471,3.264451020388998,0.2987227278947412,1.9558942851642317e-30,5.996789244145013e-28,1.6947197207515816,1.428939916097187e-40,0.4622152351864146,0.4175740309519868,0.3125744487938732
1,0.5475580850161773,3.134878039221429,1.2237728542075554,1.5561230256832106e-70,0.22995782259273811,0.7864671548211757,6.877923220636598e-25,9.823451085354676e-06,0.8831832086495741,5.613123160417149e-13
2,0.3141251561516154,3.1233096253046173,2.5348380352251683,8.166620396648059e-06,1.1960232211633916e-19,1.3842903231896161e-05,1.1776623419067043e-74,0.3323321345397446,0.0053531683940148105,0.5856346070536435
3,0.5243950406534673,2.9551929128571346,2.3701353323457637,6.042930625405319e-23,6.181008402261547e-13,0.10724796586998618,6.919452124320751e-18,1.2253443342347352e-12,2.756559102849333e-17,0.9619769093011796
4,0.31608148532857,2.9128882976313193,1.0903199171325553,0.0376639868198986,0.18372046678260828,0.7432612309561533,0.20746562254561302,9.913024886755324e-26,2.1863964338363396e-34,1.2738182971940004
5,0.16117460047294047,2.6859418731136504,1.9112250384591016,0.3076074167949886,0.5240405656564088,0.7762823027869677,0.37193423744323445,1.3383974599804116e-22,0.13975857020184773,0.0020438422322953394
6,0.19617243722726385,2.547580596788416,0.9512883357983251,0.8212867009692647,0.5392246110460124,1.1573971958271676,0.5451115607773424,2.602703801821989e-13,8.650224007991902e-11,8.533939380710131e-29
7,1.9027942237779357e-11,2.3396939503255467,0.7651615677856198,0.26477227388641406,0.9423327697208249,1.1435453506946474,0.7591523157985673,0.276683235254044,2.3968986295190905e-43,0.17645382023429954
8,0.073848327514143,2.2021330976085554,1.4660128511459445,0.9085418128671681,7.664973613863816e-50,1.1877540560771358,0.6393872074175155,0.2560350822441916,1.9696142719869026e-42,7.00599953632424e-45
9,6.515455090957255e-20,2.0506736774231378,0.6107330200334328,0.8635935496681789,0.48365785373582626,1.543142375890003,0.8953151160972672,4.050365115437892e-18,4.644240464126727e-21,6.863141852474431e-32
10,3.5865227598342275e-125,1.668405252383624,0.26357746281478506,1.679614403324932,0.013523186145560038,1.7267688399942054,1.142552054875903,4.105609217414274e-21,5.253169454189469e-15,1.3792792313292934e-34
11,8.822498606486007e-31,1.5337064396898366,1.6442529245253463,0.7726193394482957,3.10760348659225e-08,0.5452661496576816,1.2334171093905448,0.3948372940721823,0.19777245298995733,0.30318585654278635
12,1.9587302175942e-18,1.3121117321526012,0.17595085491972465,0.195471085724976,1.0554613587984052e-10,1.6942125050777253,1.2732713265250726,0.4988138325175072,0.7511236616370639,0.3553992711951632
13,2.5625298038457782e-74,1.2903177184213912,1.5124791472796437,0.45282014932529524,0.44549502868515223,0.04058335680023594,1.2368440802494547,1.917105544703346,0.16012166011953957,0.00034066564232494945
14,5.32005645063139e-113,1.0559830075588479,0.5021900924390168,1.3634821689075636,2.7049857263733735e-48,1.079674874280724,1.3879599290773144,1.556055045308382e-06,0.7977132318724471,0.1027171864694921
15,6.199570237708238e-107,0.9251926754414349,0.5552338922374601,0.3448573249274314,0.43470723391044525,1.0659264966064188,1.4419748578321099,4.6548602071631563e-48,1.3391263878170208,1.931269745106288e-06
16,1.029626545291339e-55,0.9203135424595889,0.09318457294347043,1.2476500668343122,0.3480702819114843,1.1595347792430881,1.4773671194341342,0.0842074434789723,0.6945621720786426,0.16886872738333328
17,5.449448995042212e-12,0.6917533211335546,5.0180813800976264e-05,1.7123845630079346,0.44558044003794334,0.7506945397945171,1.739389689964934,2.972737480453646e-14,0.9617768454612305,1.6883212962590941e-15
18,3.726264540100523e-09,0.46158983298134093,4.69332554524945e-05,2.2647674803787217,1.6259736262100653e-16,0.8058464896528048,1.7728553894234897,1.5405952769910216,0.0006450082655029381,2.893793284756536e-54
19,7.883914460869468e-25,0.2643752474796605,2.6161081232729637e-33,1.6168833539180747,0.19400441611671015,1.605090266093709,1.945363372909288,8.2271082897479e-30,0.016490128660584007,0.45741310227077836
