AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7
0,0.1622928481200448,0.07973062910434478,0.2695027580593051,0.46416753200718813,0.24134994575832833,0.3498029230851895,0.42330235722577153
1,0.7429076799731165,0.024214770097097583,0.14589966144076538,0.2562482687118588,0.07853417739371638,0.2955564401169814,5e-324
2,0.5144575174492739,0.09529630463121297,0.26634887753861747,0.42561817459974244,3.2541015600243475e-218,0.3310187824920045,0.0
3,0.7214372023221453,0.22547772613006523,0.3870411572011133,0.2233620844549376,0.0971350323397629,0.26636590854704284,5e-324
4,0.250050034647929,0.5281373409705392,0.05630302367382782,0.3121485029322334,0.3212672796115653,0.08076424905035584,0.26607611410058124
5,0.6091375344860867,0.03903972948488295,0.3361804052035131,0.35175490027131456,0.0,0.39185531183488054,0.764234256587507
6,0.43934955172932294,0.28209910872983673,0.14687522946179232,0.4055932236724738,0.06145255915652637,0.23230916260891304,0.0
7,1.2145399526530783e-10,0.557889138690629,0.12388641788299176,0.2004259576569298,0.39041962278704306,0.335101149831282,0.2919429528667652
8,0.12604169652124259,0.31444255043417824,0.08109678223628948,0.3099998382654996,0.4074468002481496,0.2703159825371657,0.29225485642383087
9,0.24163071331106128,0.4907909839353283,0.18485917684871586,0.24289550863825637,0.10002017574181961,0.35012313222332997,0.34492343382323204
10,0.2017786496542845,0.6811056078845776,0.16138720421377786,0.20637308006809665,0.33562011570999106,0.1989518407614975,0.4091823307625155
11,0.32262215557343193,0.2204074422577241,0.0,0.3658363874503736,0.007915065109240617,0.5168790674817433,0.36361757369619235
12,0.3704878043016112,0.48777800270687455,0.0,0.31045811161951736,0.016802809835476273,0.3683455439401666,0.0
13,0.2881812621244392,0.16473371050773442,0.11768271411623375,0.11275328988518109,0.30971090885311975,0.3575040766469333,0.5607830751308741
14,0.20069858096427987,0.1444071362822038,0.08986902143127304,0.3351072721027517,0.3750389196463717,0.12307886723517657,0.4506457516081059
15,0.2524945915499192,0.22286802116024676,0.06182173442920777,0.5101180335917042,0.35455610677036287,0.037509599159686664,0.35265683814860754
16,0.4806470956833607,0.6212949785657184,0.0,0.24908120812445095,1.0914479396735663e-10,0.262702751438526,0.0
17,0.19621080682759404,0.45477744093688044,0.06939383134636966,0.12614266095025692,0.41634971382940916,0.10959237214430306,0.3805064551127596
18,0.5992312547278477,0.5933880776350626,0.0,0.399326577718426,3.77516942020323e-44,0.13807103986886865,0.0
19,0.5699709570818488,0.1496597411024915,0.07960697733143199,0.5278612472120376,0.004703765361359107,0.20068764023981533,0.012379596774165648
20,0.5111693451209569,0.24322057361291038,0.21096333932433134,0.1987978901693783,0.2651104478611745,0.27146590115428637,0.14664263119685947
21,0.4122975608376789,0.5628119331741178,0.0,0.3779934142138461,0.22258795867587808,0.08599631661219294,0.06078520868844411
22,0.3444319150552551,0.4035370835619541,0.3717510813095376,0.4215948113093089,5e-324,0.3945341066681867,0.0
23,0.3267621405229368,0.4673099536202743,0.14816702008408517,0.39629295668471654,0.33626474457074956,0.05397281239445677,0.30927397936505663
24,0.6396975552514472,0.3016385437200972,0.08252492775238492,0.16646582815269853,0.00018401332395657659,0.39050261160518124,0.0
25,0.653240929296851,0.5752353853209538,0.0,0.39769078553063175,7.734434190410683e-11,0.06628321365761046,0.0
26,0.33847426022733285,0.23576130602723236,0.3261416231474976,0.5144692500606584,0.0028181803517125306,0.33397606632941124,5e-324
27,0.3706304408322787,0.09646149396022649,0.06436857840706682,0.43891407147647415,0.4490732315038011,0.10079917928438174,0.3553337610341988
28,0.5703586249314321,0.42779823666281946,0.2169835352565352,0.16579733932159985,0.37652945250288683,0.17681111503510022,0.309863219636836
29,0.39542078885340176,0.2841071530161409,0.16048135418681367,0.3793283007485426,0.3776600881367179,0.10397561182329837,0.28392909994910215
30,0.38766222063765515,0.38165427360238036,0.0,0.32620457234546035,0.00973805251555388,0.3343657810549188,0.016688100147271873
31,0.5156076066200869,0.13504332070586886,0.2363364418434969,0.2060618266545452,0.0,0.4561237402811659,0.28292338478315604
32,0.353298298346494,0.17498728761046806,0.41259011458790734,0.22363653641922662,0.0,0.4652753878998665,0.374745453927082
33,0.20048939333647264,0.27984226255795297,0.17828913573852587,0.44276529067640996,0.2726587021796453,0.1770753060933167,0.3938970907176237
34,0.3341222554656794,0.5578797278767096,1.0258189946640343e-143,0.0664454594214239,0.007344828801629603,0.44147997668679834,0.0
35,0.5493600691673244,0.28643966749773697,0.21606172532918927,0.23078242322318795,0.16923911932022567,0.1678559303030467,0.048938709153392004
36,0.3669876129491075,0.015512542055476973,0.32456212965522013,0.2008633463371223,2.2778649023876e-304,0.551723462673155,0.8320872618280746
37,0.6244357900748622,0.24606155091530574,0.05247005648469743,0.18773574586403927,0.33301356198317633,0.21745090053899885,0.4261081183695094
38,0.08045276783442255,0.3921983357179461,0.1743778305039041,0.24722254471468438,0.3668696715204984,0.208108328123785,0.37752597186636927
39,0.5607668110342249,0.37796993023110104,0.11312282994068126,0.3895719162200255,0.1053028324256507,0.18956730449242656,0.0
40,0.5944705588944172,0.336762489913455,0.08252492777146045,0.22885462020729497,0.0001840131906954254,0.4256626559925185,0.0
41,0.39599900149137696,0.24373427122726532,0.34106582544688013,0.402932951990968,0.04226243372926666,0.3353590728225013,0.07454491957709897
42,0.4047262382680817,0.536737580904565,0.19863346469085422,0.25216058689114673,4.8381385010161186e-70,0.3596932077404929,0.0
43,0.4013643527689852,0.06601476385653454,0.08125215584973272,0.3424092137806555,0.3340025191486542,0.3077714413660271,0.43129402315953014
44,0.6424274127020754,0.3289411240534063,0.037646457559481226,0.364135161853963,1.030326699335732e-308,0.19972394496066212,0.0
45,0.2871981161619631,0.4240789983662391,0.18270859615580246,0.15415212227177744,0.10724868158487011,0.3480746692382541,0.0
