Trial,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5
0,0.4789248348973768,0.7839188653504093,0.26633909667655337,2.2849214480365485,0.029327444277372848
1,0.960142681676178,0.5532339708207631,0.12176889307570546,2.216810039465796,0.05862356240616743
2,1.4012712988252336,0.35596371375826946,0.06207103216745171,2.135932756440732,2.6594576932750056e-20
3,1.2985777036995336,0.4245916333947893,0.1450867046133428,2.117324578687554,0.04786363632386168
4,0.5663355226402935,0.632439199307104,0.5420718371755224,2.1918189115071995,5.4575490775674825e-05
5,1.0827851792961831,0.8021611796452605,7.370816761459006e-07,2.0769579045368234,1.0471626914563291e-16
6,0.7017811605076123,0.9711281466908259,0.0207159569935418,2.1078955056223263,0.02232370028645902
7,0.8132224673684776,0.7381003670561146,0.24842656914212277,2.045861432874397,1.198574623112508e-07
8,0.6620294692806546,1.1043529971948878,2.225160279710982e-09,1.9118837330884397,0.003938020930780682
9,0.5453567686892413,1.0713743477501476,0.07002422098886138,1.9306255574585987,0.022133608117616402
10,0.08008025977473598,1.4905843759865325,0.02077076831740785,1.8774418893776443,0.019543027318825564
11,0.8428466474798574,0.7745924578312839,0.22152015772650044,1.7276465848867386,0.10554607000250271
12,0.40360332223616335,0.9116494358717342,0.4172997203279316,1.569437202934323,0.13617100923850875
13,1.2993090821120619,0.3304776162876003,0.3774267033557831,1.6030928649825562,0.09012868253083942
14,5.9319637291606225e-05,1.308969554954597,0.3770509959183858,1.5380712259871967,0.10849906733917031
15,0.42200976759180614,0.9894420475572666,0.39478095217193143,1.4509062511774335,0.13493600904483982
16,0.14542920262696657,1.0753513773676482,0.5186618864174577,1.4074400374529916,0.17596291926207944
17,0.001771193315347039,1.0969319281304883,0.6197124068599433,1.3100936185790755,0.271389635827704
18,0.3153644859249124,1.0865965454953175,0.3759464542123889,1.1535467903849301,0.29467236551838727
19,1.1526745907116768e-06,1.3123787292710785,0.4418812368536922,1.0825912078338722,0.33673367882673627
20,0.4961752110012014,0.8311399842603334,0.49578026817290105,1.0218056300356428,0.39129826100481013
21,3.5982582971455495e-05,1.149024065052708,0.5707692891054904,0.9045413432366781,0.42041950455637916
22,0.8709539667304163,0.7232051263450181,0.41821713230145724,0.8983914886320384,0.35036518015281476
23,0.6902117744386167,0.48230462534048746,0.881039962931127,0.78637089622249,0.3889846040165076
24,0.25158027185586396,0.9149338319425088,0.6835381874121539,0.599923997710301,0.5637848682236216
25,0.44160093659149013,0.8845362936746309,0.5862873787209919,0.6241998805383149,0.5029810626695033
26,0.466805656325874,0.4620946072021361,0.9903127493861112,0.6480097179853717,0.4065441573171128
27,0.6446815953797385,0.6116828257197928,0.5845124003509465,0.6104775083165175,0.42671030917474717
28,0.7331514162423226,0.39001105943335745,0.8962174336041899,0.599291267330373,0.48683211512309044
29,0.8035254282219352,0.42729350383258147,0.7234928889851451,0.4983602961446617,0.4832579977157837
